label,finalScore,finalCash,buildingsPlaced,tilesUsed,serviceShare,housingShare,commercialShare,cashReserve,housingSizeBias,industryAppetite,damPolicy,drainagePolicy,olympicsIntent,slumUpgrades,expansionTiming,twistOrder,treasureTile,treasureHit,preparedFlood,pandemicMet,olympicsQualified,industryPowerShare,industryWaterShare
random,1221,1331.0,77,77,0.550,0.042,0.268,0.140,large,medium,early,none,committed,0,late,immigration|flood|pandemic,9,11,true,true,false,true,0.000,0.167
random,-75,107.5,119,119,0.266,0.409,0.169,0.155,medium,none,never,full,opportunistic,0,late,immigration|pandemic|flood,5,6,true,true,false,true,0.000,0.000
random,657,45.5,111,111,0.327,0.114,0.356,0.202,large,large,early,partial,opportunistic,4,year0,immigration|flood|pandemic,9,15,false,true,false,false,0.000,0.000
random,1982,241.5,115,115,0.482,0.127,0.107,0.285,mixed,small,early,partial,ignore,1,late,pandemic|immigration|flood,1,14,false,true,false,false,0.000,0.056
random,642,49.8,113,113,0.354,0.330,0.218,0.099,large,none,after-flood,partial,committed,0,late,flood|immigration|pandemic,6,1,false,true,false,true,0.000,0.000
random,-1679,121.8,68,68,0.415,0.356,0.023,0.205,large,medium,after-flood,partial,ignore,2,year0,flood|pandemic|immigration,10,5,false,true,false,false,0.000,0.000
random,103,29.8,87,87,0.449,0.276,0.238,0.037,medium,none,after-flood,partial,ignore,0,year0,immigration|pandemic|flood,0,10,false,true,false,false,0.000,0.000
random,-917,126.3,86,86,0.412,0.234,0.222,0.131,mixed,small,after-flood,none,committed,0,spread,flood|pandemic|immigration,0,2,true,true,false,true,0.000,0.022
random,2001,134.3,107,107,0.427,0.093,0.173,0.307,small,large,never,partial,opportunistic,3,spread,flood|pandemic|immigration,10,11,false,true,false,true,0.000,0.000
random,1603,1367.0,84,84,0.448,0.015,0.301,0.237,medium,medium,after-flood,none,committed,0,spread,flood|pandemic|immigration,0,11,false,true,false,true,0.200,0.167
random,856,34.8,67,67,0.471,0.195,0.276,0.058,mixed,large,after-flood,none,ignore,4,year0,flood|immigration|pandemic,11,15,false,true,false,false,0.000,0.000
random,822,155.3,127,127,0.272,0.219,0.290,0.219,mixed,small,never,partial,opportunistic,0,late,pandemic|flood|immigration,1,0,true,true,false,true,0.000,0.000
random,1215,66.5,85,85,0.567,0.189,0.050,0.194,small,small,after-flood,none,ignore,2,spread,pandemic|flood|immigration,10,9,false,true,false,false,0.000,0.000
random,1475,293.3,122,122,0.314,0.078,0.354,0.254,mixed,large,never,full,opportunistic,0,year0,flood|pandemic|immigration,2,3,true,true,false,true,0.000,0.146
random,860,11.0,97,97,0.472,0.202,0.076,0.251,small,small,early,full,ignore,0,spread,pandemic|flood|immigration,8,15,false,true,false,false,0.000,0.000
random,1803,764.0,88,88,0.870,0.004,0.025,0.101,small,large,after-flood,full,ignore,2,late,immigration|pandemic|flood,7,11,true,true,false,false,0.000,0.000
random,-738,182.8,79,79,0.347,0.224,0.274,0.156,large,none,never,none,committed,3,spread,immigration|pandemic|flood,7,14,false,false,false,true,0.000,0.000
random,659,213.5,117,117,0.319,0.257,0.157,0.267,small,none,after-flood,partial,opportunistic,1,year0,pandemic|flood|immigration,6,14,false,true,false,true,0.000,0.000
random,-989,34.0,89,89,0.439,0.345,0.022,0.194,medium,small,never,partial,opportunistic,3,spread,immigration|pandemic|flood,8,14,false,true,false,false,0.000,0.000
random,914,99.5,128,128,0.221,0.265,0.389,0.125,mixed,large,early,partial,opportunistic,0,late,immigration|pandemic|flood,10,3,false,true,false,true,0.000,0.083
random,340,11.5,91,91,0.424,0.547,0.006,0.024,medium,small,never,full,committed,3,late,immigration|pandemic|flood,10,11,false,true,true,false,0.000,0.000
random,-285,88.3,95,95,0.304,0.147,0.486,0.062,mixed,small,after-flood,none,committed,3,spread,immigration|pandemic|flood,7,12,false,false,false,true,0.000,0.000
random,501,0.5,92,92,0.518,0.209,0.048,0.225,large,large,early,full,ignore,1,year0,pandemic|immigration|flood,9,1,true,true,false,false,0.000,0.000
random,1423,679.0,106,106,0.543,0.075,0.267,0.114,medium,none,after-flood,partial,ignore,0,late,immigration|flood|pandemic,8,15,false,true,false,true,0.000,0.000
random,873,214.3,57,57,0.402,0.232,0.129,0.237,large,small,never,none,ignore,4,year0,pandemic|immigration|flood,0,4,true,false,false,false,0.000,0.035
random,-1033,148.5,81,81,0.386,0.185,0.284,0.145,large,none,early,none,committed,0,spread,pandemic|immigration|flood,0,6,true,true,false,true,0.000,0.000
random,315,302.8,100,100,0.335,0.288,0.292,0.085,mixed,none,after-flood,none,opportunistic,4,year0,immigration|pandemic|flood,10,10,true,true,false,true,0.000,0.000
random,2032,557.5,96,96,0.375,0.080,0.278,0.267,medium,medium,never,none,ignore,0,late,pandemic|flood|immigration,4,10,true,false,false,true,0.000,0.139
random,1541,36.5,131,131,0.303,0.393,0.239,0.066,small,none,after-flood,full,ignore,0,late,immigration|flood|pandemic,11,14,false,true,false,true,0.000,0.000
random,1908,69.5,104,104,0.577,0.085,0.168,0.170,mixed,small,never,partial,ignore,0,year0,pandemic|flood|immigration,10,4,false,true,false,false,0.000,0.042
random,1285,3.3,95,95,0.428,0.153,0.313,0.106,large,medium,early,full,ignore,4,spread,flood|immigration|pandemic,2,3,true,true,false,false,0.000,0.000
random,-623,40.3,91,91,0.323,0.362,0.054,0.262,small,large,after-flood,full,committed,4,spread,immigration|pandemic|flood,1,11,false,true,false,false,0.000,0.000
random,1277,343.8,83,83,0.291,0.094,0.345,0.270,medium,large,never,none,opportunistic,2,year0,flood|immigration|pandemic,2,4,false,false,false,true,0.000,0.021
random,-946,83.0,88,88,0.379,0.267,0.299,0.055,large,large,early,none,committed,1,spread,pandemic|immigration|flood,7,8,false,true,false,true,0.000,0.000
random,937,46.8,131,131,0.391,0.176,0.289,0.144,large,none,early,partial,opportunistic,2,spread,pandemic|flood|immigration,5,0,true,true,false,true,0.000,0.000
random,1400,209.3,144,144,0.196,0.255,0.326,0.224,small,medium,never,partial,committed,3,late,flood|pandemic|immigration,9,2,true,true,true,true,0.000,0.000
random,1376,73.0,98,98,0.420,0.158,0.225,0.197,large,large,after-flood,full,ignore,2,spread,immigration|pandemic|flood,0,2,true,true,false,false,0.000,0.000
random,-18,145.0,113,113,0.362,0.295,0.329,0.013,mixed,large,never,full,committed,2,year0,pandemic|immigration|flood,8,2,true,true,false,true,0.000,0.000
random,963,227.0,123,123,0.300,0.209,0.235,0.256,small,none,early,full,opportunistic,1,year0,pandemic|flood|immigration,0,6,true,true,false,true,0.000,0.000
random,1109,71.5,118,118,0.484,0.218,0.117,0.181,medium,none,early,partial,committed,2,spread,pandemic|immigration|flood,0,4,true,true,false,true,0.000,0.000
random,142,159.3,63,63,0.500,0.303,0.137,0.060,large,large,early,none,committed,4,year0,flood|immigration|pandemic,11,7,false,true,false,false,0.000,0.000
random,1581,920.5,100,100,0.426,0.014,0.256,0.305,medium,none,early,partial,ignore,0,year0,flood|immigration|pandemic,1,10,false,true,false,true,0.000,0.000
random,-310,74.0,94,94,0.388,0.302,0.163,0.146,large,large,after-flood,full,ignore,2,year0,pandemic|immigration|flood,2,2,true,true,false,false,0.000,0.000
random,2243,202.0,123,123,0.355,0.049,0.364,0.232,small,none,early,partial,ignore,4,year0,pandemic|immigration|flood,5,6,true,true,false,true,0.000,0.000
random,-315,139.3,102,102,0.423,0.313,0.103,0.161,medium,none,never,full,committed,1,year0,immigration|flood|pandemic,4,7,true,true,false,true,0.000,0.000
random,-2530,77.5,104,104,0.194,0.294,0.296,0.217,medium,medium,after-flood,partial,committed,2,spread,flood|immigration|pandemic,9,0,true,true,false,false,0.000,0.000
random,-2167,108.3,98,98,0.189,0.413,0.189,0.209,small,medium,after-flood,none,opportunistic,2,spread,immigration|flood|pandemic,11,1,false,true,false,false,0.000,0.000
random,1557,141.3,82,82,0.447,0.096,0.298,0.160,small,small,early,none,ignore,4,year0,flood|pandemic|immigration,5,13,false,true,false,false,0.000,0.111
random,1165,94.3,98,98,0.377,0.232,0.194,0.197,mixed,none,early,partial,ignore,4,year0,immigration|pandemic|flood,10,13,false,true,false,false,0.000,0.000
random,272,143.3,109,109,0.277,0.252,0.235,0.236,large,large,early,partial,committed,0,late,pandemic|immigration|flood,3,13,true,true,false,true,0.000,0.050
random,1978,877.5,96,96,0.416,0.038,0.344,0.201,small,medium,early,none,opportunistic,1,year0,immigration|pandemic|flood,2,7,true,true,false,true,0.000,0.111
random,617,22.5,93,93,0.489,0.230,0.076,0.204,mixed,small,early,full,committed,4,spread,pandemic|flood|immigration,6,10,false,true,false,false,0.000,0.000
random,-834,259.0,88,88,0.415,0.322,0.241,0.022,medium,small,after-flood,none,opportunistic,0,year0,pandemic|flood|immigration,11,12,false,true,false,true,0.000,0.041
random,148,6.0,98,98,0.456,0.281,0.032,0.232,small,none,after-flood,partial,opportunistic,0,spread,flood|pandemic|immigration,6,3,false,true,false,false,0.000,0.000
random,1460,514.8,93,93,0.310,0.189,0.130,0.371,medium,medium,never,none,committed,4,year0,flood|pandemic|immigration,10,14,true,false,false,true,0.000,0.000
